Point ID,arc_length,Points_0,Points_1,Points_2,Points_Magnitude,u_0,u_1,u_2,u_Magnitude,vtkValidPointMask
227,0.642053,0.454,0.454,0,0.642053,-3.94682e-05,2.50334e-05,0,4.67376e-05,1
228,0.644881,0.456,0.456,0,0.644881,-4.02401e-05,2.7598e-05,0,4.87947e-05,1
229,0.64771,0.458,0.458,0,0.64771,-3.85306e-05,2.67936e-05,0,4.69308e-05,1
230,0.650538,0.46,0.46,0,0.650538,-3.87802e-05,2.85108e-05,0,4.81328e-05,1
231,0.653367,0.462,0.462,0,0.653367,-4.00298e-05,2.94352e-05,0,4.96872e-05,1
232,0.656195,0.464,0.464,0,0.656195,-3.50362e-05,2.55007e-05,0,4.33338e-05,1
233,0.659024,0.466,0.466,0,0.659024,-3.55782e-05,2.75673e-05,0,4.50085e-05,1
234,0.661852,0.468,0.468,0,0.661852,-3.66573e-05,2.98641e-05,0,4.72823e-05,1
235,0.66468,0.47,0.47,0,0.66468,-3.53178e-05,2.88438e-05,0,4.55995e-05,1
236,0.667509,0.472,0.472,0,0.667509,-3.48828e-05,2.67103e-05,0,4.39346e-05,1
237,0.670337,0.474,0.474,0,0.670337,-3.59462e-05,2.72728e-05,0,4.51213e-05,1
238,0.673166,0.476,0.476,0,0.673166,-3.58958e-05,2.69625e-05,0,4.48941e-05,1
239,0.675994,0.478,0.478,0,0.675994,-3.69544e-05,2.7731e-05,0,4.62021e-05,1
240,0.678823,0.48,0.48,0,0.678823,-3.59918e-05,2.82576e-05,0,4.57592e-05,1
241,0.681651,0.482,0.482,0,0.681651,-3.49724e-05,2.85091e-05,0,4.51203e-05,1
242,0.684479,0.484,0.484,0,0.684479,-3.42899e-05,2.80649e-05,0,4.43107e-05,1
243,0.687308,0.486,0.486,0,0.687308,-3.24105e-05,2.7103e-05,0,4.22494e-05,1
244,0.690136,0.488,0.488,0,0.690136,-3.27891e-05,2.80399e-05,0,4.31435e-05,1
245,0.692965,0.49,0.49,0,0.692965,-3.29982e-05,2.89244e-05,0,4.38805e-05,1
246,0.695793,0.492,0.492,0,0.695793,-3.25704e-05,2.97496e-05,0,4.41121e-05,1
247,0.698622,0.494,0.494,0,0.698622,-3.2305e-05,2.95493e-05,0,4.3781e-05,1
248,0.70145,0.496,0.496,0,0.70145,-3.2019e-05,2.88429e-05,0,4.30945e-05,1
249,0.704278,0.498,0.498,0,0.704278,-3.10679e-05,2.85136e-05,0,4.21692e-05,1
250,0.707107,0.5,0.5,0,0.707107,-3.04249e-05,2.86969e-05,0,4.18233e-05,1
251,0.709935,0.502,0.502,0,0.709935,-3.03281e-05,2.93442e-05,0,4.22004e-05,1
252,0.712764,0.504,0.504,0,0.712764,-3.06587e-05,3.02378e-05,0,4.30614e-05,1
253,0.715592,0.506,0.506,0,0.715592,-3.1034e-05,3.03591e-05,0,4.34141e-05,1
254,0.718421,0.508,0.508,0,0.718421,-3.09019e-05,2.99593e-05,0,4.30405e-05,1
255,0.721249,0.51,0.51,0,0.721249,-2.99128e-05,2.97759e-05,0,4.22064e-05,1
256,0.724077,0.512,0.512,0,0.724077,-2.90921e-05,2.97934e-05,0,4.16413e-05,1
257,0.726906,0.514,0.514,0,0.726906,-2.85479e-05,3.00149e-05,0,4.14232e-05,1
258,0.729734,0.516,0.516,0,0.729734,-2.79288e-05,3.03787e-05,0,4.1266e-05,1
259,0.732563,0.518,0.518,0,0.732563,-2.78723e-05,3.02022e-05,0,4.10979e-05,1
260,0.735391,0.52,0.52,0,0.735391,-2.80908e-05,2.9763e-05,0,4.09259e-05,1
261,0.738219,0.522,0.522,0,0.738219,-2.79484e-05,2.98223e-05,0,4.08715e-05,1
262,0.741048,0.524,0.524,0,0.741048,-2.76906e-05,3.00411e-05,0,4.08563e-05,1
263,0.743876,0.526,0.526,0,0.743876,-2.80085e-05,3.06651e-05,0,4.1531e-05,1
264,0.746705,0.528,0.528,0,0.746705,-2.80602e-05,3.09021e-05,0,4.17411e-05,1
265,0.749533,0.53,0.53,0,0.749533,-2.75363e-05,3.02605e-05,0,4.09139e-05,1
266,0.752362,0.532,0.532,0,0.752362,-2.7246e-05,2.98328e-05,0,4.04022e-05,1
267,0.75519,0.534,0.534,0,0.75519,-2.72364e-05,3.02274e-05,0,4.0688e-05,1
268,0.758018,0.536,0.536,0,0.758018,-2.70424e-05,3.05548e-05,0,4.0803e-05,1
269,0.760847,0.538,0.538,0,0.760847,-2.64109e-05,3.0633e-05,0,4.04464e-05,1
270,0.763675,0.54,0.54,0,0.763675,-2.60496e-05,3.08132e-05,0,4.03489e-05,1
271,0.766504,0.542,0.542,0,0.766504,-2.57174e-05,3.08238e-05,0,4.01434e-05,1
272,0.769332,0.544,0.544,0,0.769332,-2.54189e-05,3.08697e-05,0,3.99882e-05,1
273,0.772161,0.546,0.546,0,0.772161,-2.51935e-05,3.09746e-05,0,3.99267e-05,1
274,0.774989,0.548,0.548,0,0.774989,-2.48676e-05,3.10648e-05,0,3.97922e-05,1
275,0.777817,0.55,0.55,0,0.777817,-2.44421e-05,3.11519e-05,0,3.95962e-05,1
276,0.780646,0.552,0.552,0,0.780646,-2.4109e-05,3.1345e-05,0,3.95443e-05,1
277,0.783474,0.554,0.554,0,0.783474,-2.38625e-05,3.15944e-05,0,3.95932e-05,1
278,0.786303,0.556,0.556,0,0.786303,-2.3834e-05,3.18974e-05,0,3.98184e-05,1
279,0.789131,0.558,0.558,0,0.789131,-2.36515e-05,3.19524e-05,0,3.97536e-05,1
280,0.79196,0.56,0.56,0,0.79196,-2.34134e-05,3.19632e-05,0,3.96211e-05,1
281,0.794788,0.562,0.562,0,0.794788,-2.33013e-05,3.19634e-05,0,3.95552e-05,1
282,0.797616,0.564,0.564,0,0.797616,-2.32865e-05,3.19573e-05,0,3.95415e-05,1
283,0.800445,0.566,0.566,0,0.800445,-2.31009e-05,3.18999e-05,0,3.9386e-05,1
284,0.803273,0.568,0.568,0,0.803273,-2.29143e-05,3.18478e-05,0,3.92345e-05,1
285,0.806102,0.57,0.57,0,0.806102,-2.28861e-05,3.18827e-05,0,3.92464e-05,1
286,0.80893,0.572,0.572,0,0.80893,-2.27557e-05,3.18696e-05,0,3.91598e-05,1
287,0.811759,0.574,0.574,0,0.811759,-2.25661e-05,3.18536e-05,0,3.90369e-05,1
288,0.814587,0.576,0.576,0,0.814587,-2.22534e-05,3.19537e-05,0,3.89391e-05,1
289,0.817415,0.578,0.578,0,0.817415,-2.18918e-05,3.19734e-05,0,3.87498e-05,1
290,0.820244,0.58,0.58,0,0.820244,-2.1649e-05,3.19898e-05,0,3.86268e-05,1
291,0.823072,0.582,0.582,0,0.823072,-2.13864e-05,3.19448e-05,0,3.84428e-05,1
292,0.825901,0.584,0.584,0,0.825901,-2.11202e-05,3.19109e-05,0,3.8267e-05,1
293,0.828729,0.586,0.586,0,0.828729,-2.08933e-05,3.1975e-05,0,3.81959e-05,1
294,0.831558,0.588,0.588,0,0.831558,-2.06663e-05,3.20391e-05,0,3.81261e-05,1
295,0.834386,0.59,0.59,0,0.834386,-2.04673e-05,3.21269e-05,0,3.80927e-05,1
